"","INSTNM","LATITUDE","LONGITUDE","ADM_RATE","AANAPII","HSI","WOMENONLY","RELAFFIL"
"455","Oceanside College of Beauty",33.1789,-117.3653,NA,FALSE,FALSE,FALSE,"NULL"
"456","Ohlone College",37.528,-121.9146,NA,FALSE,FALSE,FALSE,"NULL"
"457","Orange Coast College",33.6702,-117.9114,NA,FALSE,FALSE,FALSE,"NULL"
"458","Otis College of Art and Design",33.9566,-118.4166,46.28,FALSE,FALSE,FALSE,"NULL"
"459","Oxnard College",34.1649,-119.1555,NA,FALSE,FALSE,FALSE,"NULL"
"460","Hope International University",33.8762,-117.8857,46.81,FALSE,FALSE,FALSE,"48"
"461","Concorde Career College-San Diego",32.7041,-117.1019,100,FALSE,FALSE,FALSE,"NULL"
"462","Palo Alto University",37.3833,-122.186,NA,FALSE,FALSE,FALSE,"NULL"
"463","Pacific Lutheran Theological Seminary",37.8982,-122.2602,NA,FALSE,FALSE,FALSE,"39"
"464","Pacific Oaks College",34.1515,-118.1609,NA,FALSE,FALSE,FALSE,"NULL"
"465","Pacific School of Religion",37.8766,-122.2633,NA,FALSE,FALSE,FALSE,"78"
"466","Pacific States University",34.0617,-118.2996,NA,FALSE,FALSE,FALSE,"NULL"
"467","Pacific Union College",38.5741,-122.4496,50.55,FALSE,FALSE,FALSE,"95"
"468","University of the Pacific",37.9806,-121.3073,72.65,FALSE,FALSE,FALSE,"NULL"
"469","Palo Verde College",33.6615,-114.6517,NA,FALSE,FALSE,FALSE,"NULL"
"470","Palomar College",33.1502,-117.1817,NA,FALSE,TRUE,FALSE,"NULL"
"471","Paris Beauty College",37.9722,-122.0435,NA,FALSE,FALSE,FALSE,"NULL"
"472","Pasadena City College",34.1446,-118.1182,NA,FALSE,TRUE,FALSE,"NULL"
"473","Pepperdine University",34.0419,-118.7077,37.34,FALSE,FALSE,FALSE,"74"
"474","Pitzer College",34.1034,-117.7059,14.51,FALSE,FALSE,FALSE,"NULL"
"475","Platt College-San Diego",32.7637,-117.0635,NA,FALSE,FALSE,FALSE,"NULL"
"476","Point Loma Nazarene University",32.7133,-117.2512,66.54,FALSE,FALSE,FALSE,"59"
"477","Pomona College",34.0983,-117.7119,13.92,FALSE,FALSE,FALSE,"NULL"
"478","Porterville College",36.0493,-119.0144,NA,FALSE,FALSE,FALSE,"NULL"
"479","Westwood College-South Bay",33.8518,-118.2898,NA,FALSE,FALSE,FALSE,"NULL"
"480","Professional Institute of Beauty",34.075,-118.038,NA,FALSE,FALSE,FALSE,"NULL"
"481","Santa Ana College",33.7592,-117.8884,NA,FALSE,FALSE,FALSE,"NULL"
"482","Pardee RAND Graduate School",34.01,-118.4905,NA,FALSE,FALSE,FALSE,"NULL"
"483","Shasta School of Cosmetology",40.5969,-122.387,NA,FALSE,FALSE,FALSE,"NULL"
